Instrument,Country,Qty.,OrderDate,Item Type,Path
ProFoss™ 2,CL,1,29-01-24,Item,Lists/Todays orders test
Kjeltec 9 Analyser,CN,1,29-01-24,Item,Lists/Todays orders test
Soxtec™ 8000,CN,1,29-01-24,Item,Lists/Todays orders test
ST 243 Soxtec™  230V,CN,1,29-01-24,Item,Lists/Todays orders test
Infratec™ Grain Analyser,CN,1,29-01-24,Item,Lists/Todays orders test
MilkoScan™ FT3,CZ,1,29-01-24,Item,Lists/Todays orders test
FoodScan™ 2 Lab,FR,1,29-01-24,Item,Lists/Todays orders test
NIRS™ DS3,JP,1,29-01-24,Item,Lists/Todays orders test
FoodScan™ 2 Lab,MA,1,29-01-24,Item,Lists/Todays orders test
Kjeltec 9 Analyser,MX,1,29-01-24,Item,Lists/Todays orders test
CombiFoss™ 7,SI,1,29-01-24,Item,Lists/Todays orders test
OenoFoss™ 2,SK,1,29-01-24,Item,Lists/Todays orders test
Alphatec™ FNo,US,1,29-01-24,Item,Lists/Todays orders test
"CM 290 Cemotec™, 200-240V, 50-60Hz",ZA,1,29-01-24,Item,Lists/Todays orders test
ST 243 Soxtec™  230V,AE,1,30-01-24,Item,Lists/Todays orders test
MilkoScan™ FT3,HK,1,30-01-24,Item,Lists/Todays orders test
Soxtec™ 8000,HK,1,30-01-24,Item,Lists/Todays orders test
"Fibertec™ 8000 system, 230 V 50/60HZ",HK,1,30-01-24,Item,Lists/Todays orders test
MilkoScreen Instrument License,IN,15,30-01-24,Item,Lists/Todays orders test
NIRS™ DS3 F,IN,4,30-01-24,Item,Lists/Todays orders test
MilkoScan™ MARS,NO,1,30-01-24,Item,Lists/Todays orders test
"CM 290 Cemotec™, 200-240V, 50-60Hz",PH,1,30-01-24,Item,Lists/Todays orders test
Kjeltec 9 Distillator,PH,1,30-01-24,Item,Lists/Todays orders test
"CT 293 Cyclotec™, 100-120V,60Hz",US,1,30-01-24,Item,Lists/Todays orders test
OenoFoss™ 2,AU,1,31-01-24,Item,Lists/Todays orders test
Infratec™ Grain Analyser,CA,1,31-01-24,Item,Lists/Todays orders test
NIRS™ DS3,CN,1,31-01-24,Item,Lists/Todays orders test
FoodScan™ 2 Pro,DE,1,31-01-24,Item,Lists/Todays orders test
GAC® 2500-C,GB,1,31-01-24,Item,Lists/Todays orders test
DT 208 Digestor 230V,MY,1,31-01-24,Item,Lists/Todays orders test
Infratec NOVA Autosampler edition,NO,1,31-01-24,Item,Lists/Todays orders test
"CT 293 Cyclotec™, 100-120V,60Hz",PH,1,31-01-24,Item,Lists/Todays orders test
Soxtec™ 8000,PT,1,31-01-24,Item,Lists/Todays orders test
KN 295 Knifetec™ 200-240 V 50-60Hz,PT,1,31-01-24,Item,Lists/Todays orders test
Kjeltec 9 Analyser Made in Denmark w. Autosampler 20,SA,1,31-01-24,Item,Lists/Todays orders test
Digestor 2520 Auto Lift Package,SA,1,31-01-24,Item,Lists/Todays orders test
Scrubber 2501,SA,1,31-01-24,Item,Lists/Todays orders test
Soxtec™ 8000,SA,1,31-01-24,Item,Lists/Todays orders test
NIRS™ DS3,TW,1,31-01-24,Item,Lists/Todays orders test
FoodScan™ 2 Lab,US,2,31-01-24,Item,Lists/Todays orders test
NIRS™ DS3 F,ZA,1,31-01-24,Item,Lists/Todays orders test
Infratec™ Grain Analyser,AT,1,01-02-24,Item,Lists/Todays orders test
Infratec™ Sofia OnFarm,AU,1,01-02-24,Item,Lists/Todays orders test
Infratec™ Grain Analyser,DE,1,01-02-24,Item,Lists/Todays orders test
NIRS™ DS3,ES,1,01-02-24,Item,Lists/Todays orders test
ProFoss™ 2,ES,2,01-02-24,Item,Lists/Todays orders test
Kjeltec 9 Distillator,ID,1,01-02-24,Item,Lists/Todays orders test
