Dato:,Serienummer:,Test,Step,Type of error,Type of error,Fejlbeskrivelse og komentarer,L?sning
04-01-24,91928203,Basic,Visuel inspektion,,,"M4 DRV JP18, stikben pÜ r?d ledning var ikke clicket pÜ plads i stikhus",Ledning i stik rettet
04-01-24,91928203,Basic,Initial ID chip,ID chip,,V3 ID chip kunne ikke lëses. Sort ledning afbrudt ved crimp kontakt i stik.,Ledning i stik rettet
05-01-24,91928536,5 Mëlk,Verify 5mëlk,Trans,Fat,Fat fejlede stort - B2023-52. Naboen bestod flot. Gentaget: bestod - B2023-52,Testet igen
08-01-24,91928494,Basic,Flow System Check,human error,,Slanger Q+I pÜ M2 pumpe ikke spëndt.,Slanger ikke spëndt
08-01-24,91928601,Basic,Initial ID chip,ID chip,,V1 ID chip kunne ikke lëses. Begge ledninger afbrudt ved crimp kontakt i stik.,Ledning i stik rettet
10-01-24,91928444,5 Mëlk,Verify 5mëlk,Trans,SNF,"SNF lÜ lige over tolerancen, B2023-52. Gentaget test, B2023-52: bestÜet flot.",Testet igen
11-01-24,91928678,Basic,Power up Instrument,,,Unormal lyd fra M1 pumpen (h?jre side). Power up gentaget uden bedring.,M1 pumpe skiftet
12-01-24,91928678,GPT,Measure GPT,,,M1 pumpe/H-trin hyler nÜr der k?res fl?de.,
12-01-24,91928921,Basic,Flow System Check,,,Unormale lyde fra M1 pumpen/H-stage. H-stage skiftet - nye unormale lyde.,
12-01-24,91928921,Basic,Flow System Check,,,"H-stage afmont, delvis adskilt, blëst med trykluft, samlet og monteret: OK",L?sning
12-01-24,91928921,GPT,Verify GPT,WaterTemp,human error,LÜg havde kun vëret pÜ instrument i ca. 20 min. ved start af GPT.,
15-01-24,91928921,GPT,Verify GPT,,,GPT gentaget: bestÜet.,Testet igen
16-01-24,91928990,Basic,Initial ID chip,ID chip,,"M1 ventiler med crimpefejl pÜ begge ledninger: V1, V2 og V3 (ialt 6 stikben).",Ledning i stik rettet
17-01-24,91928990,GPT,Verify GPT,ASM,,"MilkASM: Meas 2,0426 vs. LimitHigh 2. IFU fejelr modul test. Ifu justeret og sendt igennem klimaskab og bestÜr modul test.",
17-01-24,91929139,5 Mëlk,Verify 5mëlk,Trans,Protein,"B2024-02 Protein Trans, Meas 0,02411 vs LimitHigh 0,018",
17-01-24,91929139,5 Mëlk,Verify 5mëlk,Trans,Protein,"Testet igen B2024-02 Protein Trans, Meas 0,0195 vs LimitHigh 0,018",
17-01-24,91928921,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein,"B2024-02 FatTrans Meas 0,02556 vs 0,024, ProteinTrans Meas 0,01927 vs 0,018",
17-01-24,91928921,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein,"Testet igen med B2024-02: bestÜet FatTr 0,01827 og ProtTr 0,01397",Testet igen
18-01-24,91929139,5 Mëlk,Verify 5mëlk,Trans,Protein,"Extended Clean + filterstick spëndt. Testet igen B2024-02: bestÜet flot 0,00863",Spëndt filterstick
18-01-24,91928990,GPT,Verify GPT,ASM,,"Fejler igen. MilkASM: Meas 2,0308 vs. 2 og ProteinRep_milk: 0,00811 vs. 0,008",
22-01-24,91929425,Basic,Visuel inspektion,,,Intet lys i V4 LED pÜ driver pcb: afisolerig/crimp fejl. V1 havde samme fejl.,Ledning i stik rettet
23-01-24,91929541,Basic,Visuel inspektion,,,Intet lys i V1 LED pÜ driver pcb: afisolerig/crimp fejl.,Ledning i stik rettet
24-01-24,91929616,Basic,Initial ID chip,ID chip,,Motor M1 ID chip kunne ikke lëses. Det ene stikben var meget Übent for til.,Ledning i stik rettet
25-01-24,91929616,5 Mëlk,Verify 5mëlk,Trans,Fat,"B2024-04 Fat trans fejler: 0,02795 vs. Limit High 0,024",
25-01-24,91929616,STD,,,,FTIR olie indtag markant < normalt - desvërre f?rst set efter 5-milk bestÜet.,
26-01-24,91929683,M. Conductivity,Verify Cond.,SampleCond,,"Conductivity fejler, Meas 258,9275 vs. Limit high 257,14",
30-01-24,91929874,Basic,Pipette Test,adjustment wrong,,Pipette l?fter sig ikke. Magnet position justeret med s?gerblad: OK,Justeret
30-01-24,91929874,Basic,Flow System Check,adjustment wrong,,M1 H-stage: Fails to adjust correct pressure. Metalring pos. just. vha. presse.,Justeret
30-01-24,91929874,GPT,Measure GPT,,,Backpressure valve fail to adjust pr. Udviddet hun-stikben i kabelstik til motor.,Ledning i stik rettet
31-01-24,91929718,GPT,Measure GPT,,,Mange outlier under mëlketest og mange fejl i verify,
31-01-24,91929718,GPT,Measure GPT,,,Cuvette revnet,Skiftet cuvette
31-01-24,91929683,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 257,3717 vs. Limit high 257,14 (nyt cond. modul)",Skiftet Conductivity modul. Fejler
31-01-24,91929904,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 260,3556 vs. Limit high 257,14",
31-01-24,91929683,M. Conductivity,Verify Cond.,,,"Fejler SampleCond: Meas 257,3953 vs. Limit high 257,14 (""nyt"" rep. cond. modul)",Skiftet Conductivity modul. Fejler
31-01-24,91929683,M. Conductivity,Verify Cond.,,,"Nyt cond. modul (det fjerde!): BESTèET! Meas 256,6375 vs. Limit high 257,14",Skiftet Conductivity modul
